model1,model2,MEC1,MEC2,IAS1,IAS2,NF1,NF2,MSE_Train1,MSE_Train2,MSE_Test1,MSE_Test2,MSE_Test_MEC_prop1,MSE_Test_MEC_prop2,Base_Ret1,Base_Ret2,Hedge_Ret1,Hedge_Ret2
lm,svmRadial,1,1.24733394114324,0,0.01,3,3,9.18144555781561E-07,7.66075914266608E-06,9.85259922144829E-07,6.77407091514982E-05,9.85259922144829E-07,8.44952857217763E-05,0.0487435027561299,0.0487435027561299,0.000994253993707268,0.0159500685635615
lm,svmRadial,1,1,0,0.01,3,3,9.54202815626238E-07,6.72676703795103E-06,1.02940617075878E-06,5.82078308154757E-05,1.02940617075878E-06,5.82078308154757E-05,0.0473646280378913,0.0473646280378913,0.00101529467548482,0.0142999814554284
lm,svmRadial,1,1,0,0.01,3,3,9.545960835353E-07,1.91813211067294E-05,9.71683193866351E-07,5.29253718371698E-05,9.71683193866351E-07,5.29253718371698E-05,0.0469600812644268,0.0469600812644268,0.000986062568644197,0.0197304422685977
lm,svmRadial,1,1.21109968437976,0,0.01,3,3,8.8974500437924E-07,7.83576621985609E-06,9.85769620494115E-07,9.52235645201691E-05,9.85769620494115E-07,0.000115325228935892,0.0479266495011487,0.0479266495011487,0.000992233873826604,0.018328652044403
lm,svmRadial,1,1,0,0,3,3,1.05465304652525E-06,6.47370356244266E-06,1.13366278676035E-06,3.43210363102134E-05,1.13366278676035E-06,3.43210363102134E-05,0.0482541667659746,0.0482541667659746,0.0010663081727305,0.013569473158344
lm,svmRadial,1,1,0,0,3,3,1.03345698381199E-06,6.24537042789513E-06,1.01646532547634E-06,6.96590227630175E-05,1.01646532547634E-06,6.96590227630175E-05,0.0469422811472142,0.0469422811472142,0.0010073520937806,0.0167741362439967
lm,svmRadial,1,1,0,0.01,3,3,1.00691653940748E-06,7.23003514105133E-06,1.01373790180909E-06,0.00010091255152514,1.01373790180909E-06,0.00010091255152514,0.0484765818102518,0.0484765818102518,0.00100412653752411,0.011900329179123
lm,svmRadial,1,1,0,0.01,3,3,1.02443402272802E-06,6.18670037697477E-06,1.05138927929848E-06,1.62729543981008E-05,1.05138927929848E-06,1.62729543981008E-05,0.048923390658736,0.048923390658736,0.00101232153485705,0.0129060026993383
lm,svmRadial,1,1,0,0,3,3,1.01493040731016E-06,7.13129629421317E-06,9.85636973532049E-07,6.24949208038218E-05,9.85636973532049E-07,6.24949208038218E-05,0.0492488073030396,0.0492488073030396,0.000992034969423467,0.0211492874271807
lm,svmRadial,1,1,0,0,3,3,1.02595587956475E-06,6.17030390158544E-06,9.92423066657389E-07,4.37419408552529E-05,9.92423066657389E-07,4.37419408552529E-05,0.0478390564593438,0.0478390564593438,0.000996691189170124,0.015802106271667
lm,svmRadial,1,1,0,0,3,3,9.78678080227146E-07,6.36659376250643E-06,9.80565021408453E-07,3.65773429412906E-05,9.80565021408453E-07,3.65773429412906E-05,0.0492628014413753,0.0492628014413753,0.00099081058480074,0.0167427258808936
lm,svmRadial,1,1,0,0.01,3,3,9.55955029509052E-07,6.68624928361548E-06,9.37819588767132E-07,2.81916584703378E-05,9.37819588767132E-07,2.81916584703378E-05,0.0484099521588067,0.0484099521588067,0.000965636120341125,0.0163624343598071
lm,svmRadial,1,1,0,0.01,3,3,9.43778407698175E-07,6.86281191372676E-06,9.56480310358776E-07,8.95213508126797E-05,9.56480310358776E-07,8.95213508126797E-05,0.0493140957315318,0.0493140957315318,0.00098101149991251,0.0253097332951714
lm,svmRadial,1,1,0,0.01,3,3,1.06309777754955E-06,5.71824287231857E-06,9.12291030669796E-07,4.73547056342355E-05,9.12291030669796E-07,4.73547056342355E-05,0.045901989398079,0.045901989398079,0.000953372906291637,0.0133115621811888
lm,svmRadial,1,1,0,0,3,3,8.67031345262778E-07,7.15501559135634E-06,1.04446504025796E-06,2.66809261576558E-05,1.04446504025796E-06,2.66809261576558E-05,0.0479221689604539,0.0479221689604539,0.00102823185213738,0.0115073440548356
lm,svmRadial,1,1,0,0,3,3,9.0149346528968E-07,6.6985580423155E-06,9.9000978637836E-07,0.000112005176751489,9.9000978637836E-07,0.000112005176751489,0.0493512397290711,0.0493512397290711,0.000993910638047559,0.0148972156983682
lm,svmRadial,1,1.77971748026074,0,0.01,3,3,9.70218760890006E-07,6.76530193765014E-06,1.12969042405302E-06,3.25208600613007E-05,1.12969042405302E-06,5.78779431242103E-05,0.0457278205789586,0.0457278205789586,0.00105634595504551,0.0188472403567719
lm,svmRadial,1,1,0,0.01,3,3,8.49705950084848E-07,6.73043257921198E-06,1.02366252705212E-06,5.37831899388222E-05,1.02366252705212E-06,5.37831899388222E-05,0.0474819498905889,0.0474819498905889,0.00101322378526818,0.0177976732142143
lm,svmRadial,1,1.66784980258899,0,0.01,3,3,1.01331153067411E-06,7.01249412158729E-06,1.02802852436799E-06,4.67744785724161E-05,1.02802852436799E-06,7.80128048532074E-05,0.0476576024605874,0.0476576024605874,0.0010114748669154,0.0195299873472346
lm,svmRadial,1,1,0,0.01,3,3,9.60846754403994E-07,7.1676989284783E-06,1.06608375945753E-06,0.000118735288632808,1.06608375945753E-06,0.000118735288632808,0.0514922614120289,0.0514922614120289,0.00103422121319505,0.0197261385967078
lm,svmRadial,1,1,0,0,3,3,1.06563983951521E-06,6.22084781030231E-06,9.79128576213498E-07,9.01105532329055E-05,9.79128576213498E-07,9.01105532329055E-05,0.0476704042305986,0.0476704042305986,0.000988621881570534,0.0116933573650198
lm,svmRadial,1,1,0,0.01,3,3,1.05886274451816E-06,7.19004426350607E-06,1.04678741505871E-06,3.66403996441728E-05,1.04678741505871E-06,3.66403996441728E-05,0.0492306450686804,0.0492306450686804,0.00102198689251306,0.0207964503282139
lm,svmRadial,1,1,0,0,3,3,9.54889540883013E-07,6.26184915540776E-06,9.2738868865156E-07,0.000107699500084103,9.2738868865156E-07,0.000107699500084103,0.0490333976906752,0.0490333976906752,0.000961685633504009,0.01599214759972
lm,svmRadial,1,1,0,0.01,3,3,9.70188157130957E-07,6.59500969833624E-06,1.05625177354373E-06,9.64392353162026E-05,1.05625177354373E-06,9.64392353162026E-05,0.0496314687803964,0.0496314687803964,0.00102428993762107,0.0174931286289461
lm,svmRadial,1,1,0,0.01,3,3,9.73260855317757E-07,6.89622802304369E-06,1.04131006010436E-06,3.48316228311299E-05,1.04131006010436E-06,3.48316228311299E-05,0.0472308045367755,0.0472308045367755,0.00102094219928609,0.0175385519546414
lm,svmRadial,1,1,0,0.01,3,3,1.00648565991405E-06,7.40067735521454E-06,9.32657411250045E-07,4.50555606915102E-05,9.32657411250045E-07,4.50555606915102E-05,0.0484907340963882,0.0484907340963882,0.000970813851365832,0.0181450733165998
lm,svmRadial,1,1,0,0.01,3,3,9.26636590767954E-07,7.06358809161047E-06,8.87817078837706E-07,6.04236989235679E-05,8.87817078837706E-07,6.04236989235679E-05,0.0501318963234633,0.0501318963234633,0.000939876435788035,0.0175592374271088
lm,svmRadial,1,1,0,0,3,3,9.31504725334344E-07,7.04692793893763E-06,1.04961627037999E-06,6.07569152005482E-05,1.04961627037999E-06,6.07569152005482E-05,0.0508190752092366,0.0508190752092366,0.00102118306122581,0.020663335853491
lm,svmRadial,1,1,0,0.01,3,3,9.87391709611808E-07,6.52457442426498E-06,1.00145516339571E-06,0.00013783264101111,1.00145516339571E-06,0.00013783264101111,0.0499576976858638,0.0499576976858638,0.00100208758919248,0.0238553554091269
lm,svmRadial,1,1,0,0,3,3,9.56583402334432E-07,6.36539160518728E-06,1.05934862967072E-06,4.24537076267985E-05,1.05934862967072E-06,4.24537076267985E-05,0.048611054419949,0.048611054419949,0.00103170808942152,0.0141350627956043
lm,svmRadial,1,1,0,0,3,3,9.48540383665286E-07,6.70665779351194E-06,9.68796418112484E-07,8.34490646800738E-05,9.68796418112484E-07,8.34490646800738E-05,0.0481776599768448,0.0481776599768448,0.000986107840755973,0.0144713177508315
lm,svmRadial,1,1.58486731887093,0,0.01,3,3,1.05082172001197E-06,6.0601359082335E-06,9.49901142950278E-07,7.90516088533036E-05,9.49901142950278E-07,0.000125286311375768,0.0481134297992605,0.0481134297992605,0.000972976817382219,0.0173836984611293
lm,svmRadial,1,1,0,0.01,3,3,1.0604653142738E-06,7.06886885188057E-06,9.03874442331233E-07,7.7244918767198E-05,9.03874442331233E-07,7.7244918767198E-05,0.0499406247384188,0.0499406247384188,0.000949843223227811,0.0234539615424151
lm,svmRadial,1,1.48485103798693,0,0.01,3,3,1.12248445280375E-06,6.59905671274125E-06,8.90263710678124E-07,5.97629507250115E-05,8.90263710678124E-07,8.87390794171954E-05,0.0467116128224364,0.0467116128224364,0.000940606744166276,0.0144237797042857
lm,svmRadial,1,1,0,0,3,3,9.64189832602765E-07,6.324197275231E-06,9.70151218506661E-07,7.52453793108656E-05,9.70151218506661E-07,7.52453793108656E-05,0.0482763718728081,0.0482763718728081,0.000985746403997937,0.0167821724180103
lm,svmRadial,1,1,0,0,3,3,8.76487566740653E-07,6.31771603798197E-06,9.76061220022167E-07,9.72375994409029E-05,9.76061220022167E-07,9.72375994409029E-05,0.0486968100562989,0.0486968100562989,0.000988657475720585,0.0153129539434597
lm,svmRadial,1,1,0,0,3,3,8.9316716707322E-07,6.58579689619972E-06,1.02884093347048E-06,5.97801832313182E-05,1.02884093347048E-06,5.97801832313182E-05,0.0504711233490053,0.0504711233490053,0.00101417757861799,0.015851555586299
lm,svmRadial,1,1,0,0,3,3,9.28255463604332E-07,6.90848189988679E-06,1.11845653174681E-06,2.60478582107956E-05,1.11845653174681E-06,2.60478582107956E-05,0.0430385683363887,0.0430385683363887,0.00106165111349717,0.0121871386644143
lm,svmRadial,1,1,0,0,3,3,9.49433771197808E-07,7.12053243008047E-06,1.02997425662165E-06,3.48956637969185E-05,1.02997425662165E-06,3.48956637969185E-05,0.0466150306081022,0.0466150306081022,0.00101678251692225,0.0161753667207638
lm,svmRadial,1,1,0,0,3,3,1.09216476869689E-06,6.18642710780948E-06,8.55289836406597E-07,3.85751388016006E-05,8.55289836406597E-07,3.85751388016006E-05,0.0479169647074789,0.0479169647074789,0.000926786461897642,0.0165640215346726
lm,svmRadial,1,1,0,0,3,3,9.94738879707443E-07,6.31861325636368E-06,9.71251653797749E-07,5.83150138673812E-05,9.71251653797749E-07,5.83150138673812E-05,0.0485967598156957,0.0485967598156957,0.000987653933168215,0.0162953550195492
lm,svmRadial,1,1,0,0.01,3,3,1.02443122012592E-06,6.52269936231449E-06,1.06112096365781E-06,7.8653678471305E-05,1.06112096365781E-06,7.8653678471305E-05,0.0474815810819471,0.0474815810819471,0.00102754462423435,0.0186438384924174
lm,svmRadial,1,1,0,0.01,3,3,1.05897776947481E-06,5.86453580226045E-06,1.00478840311881E-06,0.000140021748213315,1.00478840311881E-06,0.000140021748213315,0.0502287412526305,0.0502287412526305,0.00100417055289401,0.0169929555379568
lm,svmRadial,1,1,0,0.01,3,3,9.41040564917138E-07,5.98764174446548E-06,1.01924452194736E-06,4.14936935208868E-05,1.01924452194736E-06,4.14936935208868E-05,0.0468204320426623,0.0468204320426623,0.00101210746639099,0.0157866177547726
lm,svmRadial,1,1,0,0,3,3,9.15583774335829E-07,8.09560287007999E-06,1.01076482002279E-06,4.24895246475893E-05,1.01076482002279E-06,4.24895246475893E-05,0.0476303803960843,0.0476303803960843,0.00100414720784767,0.0138514773417372
lm,svmRadial,1,1,0,0.01,3,3,9.38149679365349E-07,6.80159079562247E-06,9.94428771328332E-07,8.72020978289139E-05,9.94428771328331E-07,8.72020978289139E-05,0.0492666840006471,0.0492666840006471,0.000995561242923733,0.0180345265512683
lm,svmRadial,1,1,0,0,3,3,1.03459390867098E-06,7.89765478126261E-06,1.05906888567236E-06,1.94809414587833E-05,1.05906888567236E-06,1.94809414587833E-05,0.0450896915728469,0.0450896915728469,0.00102331805607981,0.0131639221013612
lm,svmRadial,1,1,0,0,3,3,9.9435297576646E-07,6.3000632677271E-06,1.01348769939612E-06,3.41658845440783E-05,1.01348769939612E-06,3.41658845440783E-05,0.0465744686545809,0.0465744686545809,0.00100385444714317,0.0145204095094075
lm,svmRadial,1,1.21133315556724,0,0.01,3,3,9.70236731478669E-07,6.98469585103382E-06,1.16295594886913E-06,2.77299314727669E-05,1.16295594886913E-06,3.35901853945702E-05,0.0461459404858394,0.0461459404858394,0.00108023016055287,0.0169921203588156
lm,svmRadial,1,1,0,0,3,3,1.06075992272378E-06,6.86528372532046E-06,1.02314132885659E-06,6.61356714664615E-05,1.02314132885659E-06,6.61356714664615E-05,0.0478715961238115,0.0478715961238115,0.0010080482849459,0.0139569620439757
lm,svmRadial,1,1,0,0.01,3,3,9.71844027928354E-07,6.9983362409872E-06,9.68603737193923E-07,4.57620206665586E-05,9.68603737193923E-07,4.57620206665586E-05,0.0481197776308313,0.0481197776308313,0.000987180381047673,0.0204649810809399
lm,svmRadial,1,1,0,0.01,3,3,9.50890281347639E-07,6.36366590259217E-06,9.9072072373437E-07,0.000140576271638401,9.9072072373437E-07,0.000140576271638401,0.046779928670268,0.046779928670268,0.000995512726897538,0.0163540340891383
lm,svmRadial,1,1,0,0,3,3,9.81668718324895E-07,6.62428010307329E-06,9.90051322178686E-07,4.28882393781811E-05,9.90051322178686E-07,4.28882393781811E-05,0.049260157647512,0.049260157647512,0.00100043144350939,0.017616959041771
lm,svmRadial,1,1.42120844795032,0,0.01,3,3,1.03863295067356E-06,7.80427125632422E-06,9.02008424019978E-07,4.63987154871865E-05,9.02008424019978E-07,6.59422464244327E-05,0.0465492684292724,0.0465492684292724,0.000948734248165873,0.0188697127224358
lm,svmRadial,1,1,0,0.01,3,3,1.13939487478946E-06,6.63747916003427E-06,1.00907023311273E-06,0.000111615151817621,1.00907023311273E-06,0.000111615151817621,0.0485799600511948,0.0485799600511948,0.00100719135680976,0.0174375434567428
lm,svmRadial,1,1,0,0.01,3,3,1.01428531407025E-06,7.23364238291179E-06,9.13277880127743E-07,5.89212650613746E-05,9.13277880127743E-07,5.89212650613746E-05,0.0484667074600372,0.0484667074600372,0.000946766046518387,0.0172220155502782
lm,svmRadial,1,1.1855545871517,0,0.01,3,3,1.07588510541714E-06,6.55652184553416E-06,9.08321003956602E-07,6.34410058913526E-05,9.08321003956602E-07,7.52127755480108E-05,0.048162477757099,0.048162477757099,0.000951991368158889,0.0195327209894719
lm,svmRadial,1,1.20402841320841,0,0.01,3,3,9.89542817201612E-07,6.46817583046973E-06,9.10571405102202E-07,6.9663153547585E-05,9.10571405102202E-07,8.38764162249929E-05,0.0497315333799644,0.0497315333799644,0.000952336619951409,0.0189633291373051
lm,svmRadial,1,1.19017559022509,0,0.01,3,3,9.80649309315824E-07,6.38718636173425E-06,1.041787485559E-06,5.44031342985727E-05,1.041787485559E-06,6.47492824738988E-05,0.0511610378204524,0.0511610378204524,0.00102116522893311,0.017997413568655
lm,svmRadial,1,1.53041775847934,0,0.01,3,3,9.67348600412906E-07,5.89881435465259E-06,9.78377723019787E-07,5.21002970620422E-05,9.78377723019787E-07,7.97352198457982E-05,0.046842455349397,0.046842455349397,0.000989043952409428,0.0175933280897697
lm,svmRadial,1,1,0,0.01,3,3,1.12504956999492E-06,6.19989403834836E-06,1.03755843384847E-06,2.56095844936897E-05,1.03755843384847E-06,2.56095844936897E-05,0.0457709575454059,0.0457709575454059,0.00101977269275546,0.0151430808849379
lm,svmRadial,1,1,0,0.01,3,3,9.57015185681895E-07,6.78555303723511E-06,1.00740895824123E-06,4.35512235416524E-05,1.00740895824123E-06,4.35512235416524E-05,0.0469610518215488,0.0469610518215488,0.00100087054218216,0.0181130571905956
lm,svmRadial,1,1.56283879540384,0,0.01,3,3,9.84024808004863E-07,7.78781619474211E-06,9.62980752783047E-07,4.71397307399068E-05,9.62980752783047E-07,7.36718000052174E-05,0.0480496797805731,0.0480496797805731,0.000982674506485843,0.0188013185974915
lm,svmRadial,1,1.73319804321683,0,0.01,3,3,1.11872627471731E-06,6.54371688572019E-06,9.91349597595927E-07,8.98566500318131E-05,9.91349597595927E-07,0.000155739370005158,0.0474795678363812,0.0474795678363812,0.000997461369511564,0.0232174606604533
lm,svmRadial,1,1,0,0,3,3,9.59821021024878E-07,7.63534537490434E-06,1.11716768968404E-06,5.00378797457287E-05,1.11716768968404E-06,5.00378797457287E-05,0.0490464486238532,0.0490464486238532,0.00105534251942285,0.0174379142522261
lm,svmRadial,1,1,0,0.01,3,3,9.80823054144878E-07,6.90902269118658E-06,1.01808804808607E-06,0.000129662206615662,1.01808804808607E-06,0.000129662206615662,0.0478027775553793,0.0478027775553793,0.00100101672144132,0.017830481786792
lm,svmRadial,1,1,0,0,3,3,9.37293480443926E-07,6.24984655928931E-06,9.62266887553031E-07,3.64380180466452E-05,9.62266887553031E-07,3.64380180466452E-05,0.0481523680389304,0.0481523680389304,0.000980632475962163,0.014467307684288
lm,svmRadial,1,1,0,0,3,3,9.56667343393309E-07,7.08634970123797E-06,9.30485872937691E-07,0.000103201690779806,9.30485872937691E-07,0.000103201690779806,0.048609020631061,0.048609020631061,0.000961622221385977,0.0200166898561144
lm,svmRadial,1,1,0,0,3,3,9.49548175305466E-07,6.02485270596969E-06,1.04825036339908E-06,8.11251700712419E-05,1.04825036339908E-06,8.11251700712419E-05,0.0511533613675038,0.0511533613675038,0.00101826800080434,0.0147382019748076
lm,svmRadial,1,1,0,0.01,3,3,9.42684322396752E-07,6.83559675244012E-06,9.53929616980914E-07,2.23705501831478E-05,9.53929616980914E-07,2.23705501831478E-05,0.0479535874455449,0.0479535874455449,0.000974699782237705,0.0174811129624878
lm,svmRadial,1,1,0,0.01,3,3,8.99291965127586E-07,7.3422343154082E-06,9.19920815137301E-07,0.000113739004888931,9.19920815137301E-07,0.000113739004888931,0.0501788082629599,0.0501788082629599,0.000964354267567473,0.022266271198048
lm,svmRadial,1,1,0,0,3,3,9.1312787321778E-07,7.07064534132564E-06,9.71704598300967E-07,8.58900836563021E-05,9.71704598300967E-07,8.58900836563021E-05,0.0497783754082473,0.0497783754082473,0.000978485546222869,0.015485963368176
lm,svmRadial,1,1.20061583896137,0,0.01,3,3,1.0193730610031E-06,6.55134423716983E-06,9.96089116590884E-07,2.47624142828684E-05,9.96089116590884E-07,2.97301467989351E-05,0.0451250497332642,0.0451250497332642,0.00099514140394197,0.0141107059653212
lm,svmRadial,1,1,0,0.01,3,3,1.00946504411232E-06,6.64860456019781E-06,9.46966277139066E-07,3.41103563717609E-05,9.46966277139066E-07,3.41103563717609E-05,0.0479281691852754,0.0479281691852754,0.000970783019409388,0.0175598676665117
lm,svmRadial,1,1,0,0,3,3,8.48102634972067E-07,6.09241404541422E-06,9.83014113110651E-07,5.63906008016636E-05,9.83014113110651E-07,5.63906008016636E-05,0.0508789203616868,0.0508789203616868,0.000989086189133307,0.0145252111077106
lm,svmRadial,1,1,0,0,3,3,9.55259518581501E-07,6.95145030150114E-06,9.36782324516248E-07,4.11267979156274E-05,9.36782324516248E-07,4.11267979156274E-05,0.0473853867879699,0.0473853867879699,0.000966336421154935,0.0137332151059372
lm,svmRadial,1,1,0,0,3,3,1.01169533944631E-06,6.07610508736839E-06,8.74111287731837E-07,2.31018015766726E-05,8.74111287731837E-07,2.31018015766726E-05,0.0479847850345164,0.0479847850345164,0.000925650148423313,0.0134471577403276
lm,svmRadial,1,1,0,0.01,3,3,9.64552471549778E-07,7.58917829096187E-06,9.76437034995701E-07,0.0001117753450966,9.76437034995701E-07,0.0001117753450966,0.0465817231661713,0.0465817231661713,0.000988483865305495,0.0209762133161624
