"model1" "model2" "MEC1" "MEC2" "IAS1" "IAS2" "NF1" "NF2" "MSE_Train1" "MSE_Train2" "MSE_Test1" "MSE_Test2" "MSE_Test_MEC_prop1" "MSE_Test_MEC_prop2" "Base_Ret1" "Base_Ret2" "Hedge_Ret1" "Hedge_Ret2"
"lm" "svmRadial" "1" "3" "0" "0.07" "3" "3" "1.77148489340317e-06" "8.61265471895406e-07" "2.29779915301624e-06" "1.85395830881438e-06" "2.29779915301624e-06" "5.56187492644315e-06" "0.00228113221264083" "0.00228113221264083" "0.00130554689525018" "0.00235706119002326"
"lm" "svmRadial" "1" "3.03350231876469" "0" "0.07" "3" "3" "2.44895453080826e-06" "1.10444453740101e-06" "1.8409594323719e-06" "1.37751242398872e-06" "1.8409594323719e-06" "4.17868713229696e-06" "0.00184648697411817" "0.00184648697411817" "0.00130263509640977" "0.00221044774084075"
"lm" "svmRadial" "1" "3.06664892846342" "0" "0.09" "3" "3" "2.28348410111498e-06" "9.21876836424809e-07" "2.63160550238158e-06" "2.23119523206843e-06" "2.63160550238158e-06" "6.84229246761532e-06" "0.00235704857409209" "0.00235704857409209" "0.0014390024178209" "0.002464018316856"
"lm" "svmRadial" "1" "3" "0" "0.06" "3" "3" "1.7138087690035e-06" "8.28290338497606e-07" "2.46569173830798e-06" "2.14721946494608e-06" "2.46569173830798e-06" "6.44165839483824e-06" "0.0022343941214217" "0.0022343941214217" "0.00127245046176163" "0.00226965688359997"
"lm" "svmRadial" "1" "3" "0" "0.11" "3" "3" "2.73125801868854e-06" "7.60342784367141e-07" "2.78833005366444e-06" "2.41588551131107e-06" "2.78833005366444e-06" "7.24765653393321e-06" "0.00230640334729505" "0.00230640334729505" "0.00166897575637702" "0.00268893209270343"
"lm" "svmRadial" "1" "3.0679270238109" "0" "0.09" "3" "3" "2.56180168818065e-06" "7.89463957354797e-07" "2.37205578132882e-06" "1.47792017494705e-06" "2.37205578132882e-06" "4.53415124375539e-06" "0.00204358980295109" "0.00204358980295109" "0.00152793087034835" "0.00258562673378386"
"lm" "svmRadial" "1" "3" "0" "0.15" "3" "3" "3.08838764857166e-06" "8.63603747278856e-07" "3.08571690330567e-06" "2.08867680696299e-06" "3.08571690330567e-06" "6.26603042088897e-06" "0.00242075523804994" "0.00242075523804994" "0.00165043864502607" "0.00273382098858"
"lm" "svmRadial" "1" "3.02475634272252" "0" "0.08" "3" "3" "1.89984183052842e-06" "8.18224110750344e-07" "2.01320154706321e-06" "1.79393587466643e-06" "2.01320154706321e-06" "5.42621891533475e-06" "0.00202734196749176" "0.00202734196749176" "0.0012239141404485" "0.00281582496766428"
"lm" "svmRadial" "1" "3" "0" "0.06" "3" "3" "2.14750761749206e-06" "8.22847417665345e-07" "1.85287027715185e-06" "1.26982912131423e-06" "1.85287027715185e-06" "3.80948736394269e-06" "0.00204043966537837" "0.00204043966537837" "0.0013449602913125" "0.00233563331067648"
"lm" "svmRadial" "1" "3" "0" "0.05" "3" "3" "2.11031101723952e-06" "8.65152645907226e-07" "1.75886988210283e-06" "1.57904533864273e-06" "1.75886988210283e-06" "4.73713601592819e-06" "0.00187287782156552" "0.00187287782156552" "0.00128805555389717" "0.00277007974471018"
"lm" "svmRadial" "1" "3.05235522099865" "0" "0.07" "3" "3" "2.53511206508355e-06" "7.74635854031127e-07" "2.84210593761401e-06" "2.33769916777439e-06" "2.84210593761401e-06" "7.13548825988036e-06" "0.00251109942101839" "0.00251109942101839" "0.00149130639756061" "0.0024952067399554"
"lm" "svmRadial" "1" "2.89244196787353" "0" "0.09" "3" "3" "2.59199658741172e-06" "9.22195310107575e-07" "2.93297962611127e-06" "1.69927099538433e-06" "2.93297962611127e-06" "4.91504274183985e-06" "0.00241301933357429" "0.00241301933357429" "0.00166688726176456" "0.00258344831202151"
"lm" "svmRadial" "1" "3.09834337293988" "0" "0.05" "3" "3" "2.25340336374841e-06" "8.37734448208571e-07" "2.11234469759033e-06" "1.4152339066857e-06" "2.11234469759033e-06" "4.38488059593945e-06" "0.00191471319782457" "0.00191471319782457" "0.00141880605569346" "0.00256037589544197"
"lm" "svmRadial" "1" "2.83351339847365" "0" "0.07" "3" "3" "1.82838662158478e-06" "9.126459699185e-07" "2.87286883069024e-06" "2.53499092211484e-06" "2.87286883069024e-06" "7.18293074282146e-06" "0.00235457542626038" "0.00235457542626038" "0.00136918520662817" "0.00204324549617496"
"lm" "svmRadial" "1" "3" "0" "0.1" "3" "3" "1.56410777251656e-06" "7.92861876738399e-07" "1.93195403851872e-06" "1.57757400969345e-06" "1.93195403851872e-06" "4.73272202908035e-06" "0.00201135033110134" "0.00201135033110134" "0.00135647090361072" "0.00196712836664451"
"lm" "svmRadial" "1" "3" "0" "0.09" "3" "3" "1.76939623474808e-06" "7.74172134514688e-07" "1.68956002553253e-06" "1.5512653335857e-06" "1.68956002553253e-06" "4.65379600075708e-06" "0.00172143951973023" "0.00172143951973023" "0.00123119902315054" "0.0024689169314883"
"lm" "svmRadial" "1" "3" "0" "0.07" "3" "3" "1.88956199773976e-06" "1.13108870326482e-06" "1.82478742496545e-06" "1.38455356165556e-06" "1.82478742496545e-06" "4.15366068496667e-06" "0.00200496630458726" "0.00200496630458726" "0.00129203876020986" "0.0020706182685181"
"lm" "svmRadial" "1" "3" "0" "0.06" "3" "3" "1.92942557773856e-06" "8.41711386252303e-07" "2.05497271051454e-06" "1.6042049769917e-06" "2.05497271051454e-06" "4.8126149309751e-06" "0.00198347467694088" "0.00198347467694088" "0.00129993180607917" "0.00244801446294552"
"lm" "svmRadial" "1" "2.9553550187727" "0" "0.05" "3" "3" "1.74136349136363e-06" "1.14318730456995e-06" "4.23976097561797e-06" "4.71625997553298e-06" "4.23976097561797e-06" "1.39382225885282e-05" "0.00275632608510998" "0.00275632608510998" "0.00137054952585715" "0.00195474820992586"
