"model1" "model2" "MEC1" "MEC2" "IAS1" "IAS2" "NF1" "NF2" "MSE_Train1" "MSE_Train2" "MSE_Test1" "MSE_Test2" "MSE_Test_MEC_prop1" "MSE_Test_MEC_prop2" "Base_Ret1" "Base_Ret2" "Hedge_Ret1" "Hedge_Ret2"
"1" "lm" "svmRadial" "1" "1.2045397989092" "0" "0.01" "3" "3" "9.66731369025585e-07" "6.67409070347812e-06" "1.09219056595509e-06" "0.000129950704279532" "1.09219056595509e-06" "0.000156530795200975" "0.0482514825340936" "0.0482514825340936" "0.00103411567862155" "0.0176273932114963"
"1" "lm" "svmRadial" "1" "1" "0" "0.01" "3" "3" "1.02822625203111e-06" "7.63236962306392e-06" "9.58157918513172e-07" "5.7547400702296e-05" "9.58157918513172e-07" "5.7547400702296e-05" "0.047363005403286" "0.047363005403286" "0.000973436040583674" "0.0169447978799028"
"1" "lm" "svmRadial" "1" "1" "0" "0.01" "3" "3" "9.0987685849524e-07" "6.73504476275203e-06" "1.08042125928617e-06" "6.81891972062678e-05" "1.08042125928617e-06" "6.81891972062678e-05" "0.0475968901219927" "0.0475968901219927" "0.00103196163897315" "0.0181982500184536"
"1" "lm" "svmRadial" "1" "1" "0" "0.01" "3" "3" "1.01420633455836e-06" "5.89497295245889e-06" "9.19955175186564e-07" "3.87299690137923e-05" "9.19955175186564e-07" "3.87299690137923e-05" "0.0477799067368231" "0.0477799067368231" "0.000960076005033056" "0.0195684277207209"
"1" "lm" "svmRadial" "1" "1" "0" "0.01" "3" "3" "1.01939381234127e-06" "7.62122058508088e-06" "9.60616272217061e-07" "5.2335687647109e-05" "9.60616272217061e-07" "5.2335687647109e-05" "0.0481437281776725" "0.0481437281776725" "0.000977213519841745" "0.020777805686241"
"1" "lm" "svmRadial" "1" "1" "0" "0" "3" "3" "9.59696546384892e-07" "6.6336414092901e-06" "9.58926450201729e-07" "4.23211050928491e-05" "9.58926450201729e-07" "4.23211050928491e-05" "0.0488274589509301" "0.0488274589509301" "0.000970727734825646" "0.021407896676445"
"1" "lm" "svmRadial" "1" "1.21723690707558" "0" "0.01" "3" "3" "1.0045077368688e-06" "7.09331587397673e-06" "9.79798236149476e-07" "0.000113332172640362" "9.79798236149476e-07" "0.00013795210329691" "0.0486988699670482" "0.0486988699670482" "0.000990821465499962" "0.0212389979022424"
"1" "lm" "svmRadial" "1" "1" "0" "0" "3" "3" "9.34362066624485e-07" "6.08959827982331e-06" "1.05708740593784e-06" "7.23248427814055e-05" "1.05708740593784e-06" "7.23248427814055e-05" "0.0504990999797926" "0.0504990999797926" "0.00102530782979412" "0.0218510308471841"
"1" "lm" "svmRadial" "1" "1" "0" "0.01" "3" "3" "9.9054484302143e-07" "7.94452684993564e-06" "1.06088749530441e-06" "5.25988812280108e-05" "1.06088749530441e-06" "5.25988812280108e-05" "0.0470962436644538" "0.0470962436644538" "0.00102116363563523" "0.0168963232572738"
"1" "lm" "svmRadial" "1" "1" "0" "0.01" "3" "3" "9.72909103333151e-07" "6.64844246542907e-06" "1.00308557047128e-06" "7.72635454066558e-05" "1.00308557047128e-06" "7.72635454066558e-05" "0.0466227094677353" "0.0466227094677353" "0.000997388506734207" "0.0166825276999208"
